Date,Location,Lease ID,Unit Number,SQM,Retailer,Sales,Sector,Sector detail
01/12/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/12/2016,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/01/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
03/03/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/03/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/05/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/05/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/07/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/07/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
31/08/2017,Blanchardstown Centre,M00004885,Unit 137,144.84,Retailer 10,0,F&B,Coffee Shop
01/10/2015,Blanchardstown Centre,M00004907,Unit 162,80.27,Retailer 17,0,F&B,Sandwich shop
31/10/2015,Blanchardstown Centre,M00004907,Unit 162,80.27,Retailer 17,0,F&B,Sandwich shop
01/12/2015,Blanchardstown Centre,M00004907,Unit 162,80.27,Retailer 17,0,F&B,Sandwich shop
31/12/2015,Blanchardstown Centre,M00004907,Unit 162,80.27,Retailer 17,0,F&B,Sandwich shop
01/10/2015,Blanchardstown Centre,M00004913,Unit 180,682.84,Retailer 18,0,Fashion,Mixed
31/10/2015,Blanchardstown Centre,M00004913,Unit 180,682.84,Retailer 18,0,Fashion,Mixed
01/12/2015,Blanchardstown Centre,M00004913,Unit 180,682.84,Retailer 18,0,Fashion,Mixed
31/12/2015,Blanchardstown Centre,M00004913,Unit 180,682.84,Retailer 18,0,Fashion,Mixed
31/01/2016,Blanchardstown Centre,M00004913,Unit 180,682.84,Retailer 18,0,Fashion,Mixed
01/10/2015,Blanchardstown Centre,M00004914,Unit 181,1096.63,Retailer 18,0,Fashion,Mixed
31/10/2015,Blanchardstown Centre,M00004914,Unit 181,1096.63,Retailer 18,0,Fashion,Mixed
01/12/2015,Blanchardstown Centre,M00004914,Unit 181,1096.63,Retailer 18,0,Fashion,Mixed
31/12/2015,Blanchardstown Centre,M00004914,Unit 181,1096.63,Retailer 18,0,Fashion,Mixed
31/01/2016,Blanchardstown Centre,M00004914,Unit 181,1096.63,Retailer 18,0,Fashion,Mixed
01/10/2015,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/10/2015,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/12/2015,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/12/2015,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/01/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
02/03/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/03/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/05/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/05/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/07/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/07/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/08/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/10/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/10/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/12/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/12/2016,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/01/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
03/03/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/03/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/05/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/05/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
01/07/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/07/2017,Blanchardstown Centre,M00004926,Unit 204,242.94,Retailer 19,0,Fashion,Womens
31/10/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/12/2015,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/01/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
02/03/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/05/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/05/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/07/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/08/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/10/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/10/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/12/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/12/2016,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/01/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
03/03/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/03/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/05/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/05/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
01/07/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/07/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/08/2017,Blanchardstown Centre,M00004959,Unit 246,94.2,Retailer 13,0,Health & Beauty,Optician
31/10/2016,Blanchardstown Centre,M00004963,Unit 251,100.8,Retailer 20,0,Health & Beauty,Pharmacy
01/12/2016,Blanchardstown Centre,M00004963,Unit 251,100.8,Retailer 20,0,Health & Beauty,Pharmacy
31/12/2016,Blanchardstown Centre,M00004963,Unit 251,100.8,Retailer 20,0,Health & Beauty,Pharmacy
31/01/2017,Blanchardstown Centre,M00004963,Unit 251,100.8,Retailer 20,0,Health & Beauty,Pharmacy
